N,K,method_id,label,throughput_mbps,se_bps_per_hz
8,50,random,Random,65.59730952818657,3.279865476409329
8,50,random,Random,69.52373173293013,3.4761865866465063
8,50,random,Random,63.93398414958863,3.1966992074794316
8,50,random,Random,114.2693679374972,5.71346839687486
8,50,random,Random,102.13992367352539,5.106996183676269
8,50,random,Random,109.18406421022782,5.459203210511391
8,50,random,Random,54.65792660712911,2.7328963303564557
8,50,random,Random,69.89665962926215,3.4948329814631074
8,50,random,Random,96.81623012150212,4.840811506075106
8,50,random,Random,55.60994794508096,2.780497397254048
8,50,random,Random,83.08386925778746,4.154193462889372
8,50,random,Random,39.06092508540929,1.9530462542704645
8,50,random,Random,39.01875822630003,1.9509379113150016
8,50,random,Random,72.47740562930575,3.6238702814652877
8,50,random,Random,54.367168084267064,2.7183584042133533
8,50,random,Random,97.21418307543888,4.8607091537719445
8,50,random,Random,87.4365161600215,4.371825808001075
8,50,random,Random,100.74015530887571,5.037007765443786
8,50,random,Random,24.54008688329323,1.2270043441646614
8,50,random,Random,100.35875652985104,5.017937826492552
8,50,random,Random,86.27959719207963,4.313979859603982
8,50,random,Random,90.94403703506559,4.54720185175328
8,50,random,Random,52.14767886597609,2.6073839432988044
8,50,random,Random,98.99133615408854,4.949566807704427
8,50,random,Random,73.2053871050303,3.660269355251515
8,50,random,Random,40.47265956186653,2.0236329780933264
8,50,random,Random,79.72199934487172,3.986099967243586
8,50,random,Random,51.1821270352839,2.559106351764195
8,50,random,Random,50.546637767637186,2.5273318883818594
8,50,random,Random,71.0881537444865,3.5544076872243253
8,50,random,Random,80.79674725086228,4.039837362543114
8,50,random,Random,83.02836339232714,4.151418169616356
8,50,random,Random,97.1369716342505,4.8568485817125255
8,50,random,Random,60.0652927369311,3.003264636846555
8,50,random,Random,88.1791080477537,4.408955402387686
8,50,random,Random,80.38652932923226,4.019326466461613
8,50,random,Random,65.1289265496495,3.2564463274824753
8,50,random,Random,108.72913713575326,5.436456856787663
8,50,random,Random,93.18843287911398,4.659421643955699
8,50,random,Random,32.902594123960704,1.6451297061980352
8,50,random,Random,13.161099777312542,0.6580549888656271
8,50,random,Random,12.892518891917796,0.6446259445958897
8,50,random,Random,38.48943049757512,1.924471524878756
8,50,random,Random,85.15112035302774,4.257556017651386
8,50,random,Random,59.73669353038363,2.9868346765191816
8,50,random,Random,77.51688097591631,3.8758440487958157
8,50,random,Random,71.16516022590167,3.558258011295084
8,50,random,Random,13.793030546722333,0.6896515273361167
8,50,random,Random,86.10653134204651,4.305326567102326
8,50,random,Random,101.65106489317253,5.082553244658627
8,50,random,Random,61.03118147784759,3.0515590738923795
8,50,random,Random,10.51537509081256,0.525768754540628
8,50,random,Random,83.53031390098754,4.1765156950493765
8,50,random,Random,49.035543890846775,2.4517771945423386
8,50,random,Random,63.03405812171902,3.151702906085951
8,50,random,Random,6.107286905755652,0.3053643452877826
8,50,random,Random,30.247353734265417,1.512367686713271
8,50,random,Random,100.49179253134716,5.024589626567358
8,50,random,Random,53.61713709682899,2.6808568548414495
8,50,random,Random,74.46199393297384,3.7230996966486924
8,50,random,Random,108.56361186286843,5.428180593143422
8,50,random,Random,64.37195142533349,3.218597571266675
8,50,random,Random,74.7194765510551,3.7359738275527543
8,50,random,Random,41.948076260040374,2.0974038130020185
8,50,random,Random,61.87135337726388,3.093567668863194
8,50,random,Random,50.514912773337436,2.525745638666872
8,50,random,Random,96.96450468577223,4.848225234288611
8,50,random,Random,78.79208173626256,3.939604086813128
8,50,random,Random,82.21260063285068,4.1106300316425335
8,50,random,Random,100.37753913064363,5.018876956532181
8,50,random,Random,88.62316695607231,4.431158347803616
8,50,random,Random,88.66511947977767,4.433255973988884
8,50,random,Random,45.58126433676162,2.279063216838081
8,50,random,Random,97.19626288780437,4.859813144390218
8,50,random,Random,86.77931573822721,4.338965786911361
8,50,random,Random,97.40485775343488,4.870242887671744
8,50,random,Random,66.26874572376362,3.3134372861881807
8,50,random,Random,73.50791525502159,3.675395762751079
8,50,random,Random,43.16885567551953,2.1584427837759765
8,50,random,Random,76.25803317824631,3.812901658912315
